age,tenure_months,monthly_usage_hours,purchase_amount,customer_service_calls,late_payments,region,contract_type,autopay,churn
35,32,28.8,142.9,0,1,South,Month-to-month,No,1
33,49,64.6,59.31,2,1,East,Month-to-month,No,0
50,51,3.8,393.88,2,0,West,Month-to-month,Yes,0
29,32,28.2,174.88,0,2,West,Two year,Yes,0
20,6,51.4,252.67,4,0,South,Month-to-month,Yes,1
18,2,8.5,128.63,2,1,South,Month-to-month,No,1
22,34,21.7,74.55,4,1,West,Month-to-month,Yes,1
27,59,23.5,160.44,3,0,North,Month-to-month,No,1
58,3,28.4,300.63,5,2,East,Month-to-month,No,1
35,64,6.5,130.32,2,1,South,One year,Yes,0
22,49,41.5,93.59,2,2,North,Two year,Yes,0
18,1,42.7,201.32,5,0,East,Month-to-month,Yes,1
45,25,40.1,237.4,0,1,South,One year,Yes,1
66,16,18.1,357.5,0,3,North,Month-to-month,Yes,1
37,69,33.4,222.14,1,2,East,Month-to-month,Yes,0
21,40,17.6,252.62,2,0,North,Month-to-month,No,1
31,24,26.7,260.52,2,0,East,Month-to-month,Yes,1
46,21,66.5,63.93,1,0,North,One year,Yes,1
28,41,33.5,83.85,3,2,South,One year,Yes,1
74,1,13.0,71.19,5,1,West,One year,No,1
62,19,34.9,45.12,2,0,North,Month-to-month,Yes,0
37,12,10.4,268.52,2,0,West,One year,Yes,0
73,45,12.8,215.46,1,1,East,Month-to-month,No,1
36,49,15.3,193.35,4,2,West,Month-to-month,Yes,1
26,34,24.9,10.0,0,1,North,Month-to-month,Yes,1
72,11,47.0,400.83,8,0,East,One year,Yes,1
73,27,41.3,91.1,1,1,West,Two year,No,1
36,61,40.4,400.44,3,0,West,Month-to-month,No,0
52,15,14.4,32.83,3,0,North,One year,Yes,1
28,12,23.3,99.7,2,0,West,One year,No,1
55,9,36.4,10.0,0,1,North,One year,No,0
58,59,21.9,223.02,2,2,East,Month-to-month,No,1
59,9,27.5,69.37,1,0,South,One year,No,1
50,42,39.1,72.33,1,1,East,One year,No,0
58,72,26.4,40.89,6,0,East,Two year,Yes,0
50,47,35.6,266.62,6,1,North,Month-to-month,Yes,1
65,30,57.5,259.7,2,1,East,Two year,No,0
28,15,29.3,375.26,3,1,West,Month-to-month,Yes,1
46,1,50.9,113.0,4,1,South,Two year,Yes,1
42,12,40.9,207.98,2,0,South,Month-to-month,No,1
48,69,8.5,49.62,0,2,West,Month-to-month,No,1
26,11,14.4,149.82,5,0,North,Month-to-month,No,1
36,2,18.7,130.52,4,1,South,Month-to-month,No,1
73,59,18.3,233.77,4,2,East,Month-to-month,Yes,0
24,31,30.6,291.79,5,0,South,Month-to-month,No,1
54,26,41.8,289.06,5,2,West,Month-to-month,No,1
56,52,52.1,96.5,2,1,South,Month-to-month,Yes,1
45,38,36.9,289.84,0,0,West,One year,Yes,0
19,66,24.9,180.37,5,1,North,Two year,No,0
19,34,1.0,150.92,5,0,East,One year,Yes,1
33,52,33.1,110.61,2,1,East,Month-to-month,Yes,0
23,64,32.4,126.21,1,0,North,Month-to-month,Yes,1
23,34,34.9,367.94,4,1,North,Two year,Yes,1
27,21,65.7,217.28,0,1,East,Month-to-month,Yes,1
29,71,51.8,203.33,4,0,East,Month-to-month,No,0
66,17,44.6,157.46,3,1,East,Two year,No,1
55,3,16.6,441.83,5,3,North,Two year,No,1
19,42,23.8,322.03,3,0,East,Month-to-month,Yes,1
54,72,30.5,109.29,5,1,West,One year,Yes,0
25,7,19.6,156.27,4,2,North,Month-to-month,Yes,1
42,62,40.0,162.5,1,0,South,One year,No,0
20,60,37.7,200.32,4,1,South,Month-to-month,No,1
23,67,14.6,111.37,0,0,West,Month-to-month,Yes,0
25,31,51.1,231.08,1,2,South,One year,No,1
43,19,33.6,337.47,4,0,South,Month-to-month,Yes,0
44,37,4.3,47.07,0,3,East,One year,Yes,1
38,11,31.2,66.54,2,3,North,Month-to-month,No,1
53,61,36.5,134.27,5,0,West,Two year,Yes,1
59,48,47.6,139.14,4,1,West,One year,No,0
60,35,26.6,394.84,2,0,East,Month-to-month,Yes,0
51,38,45.2,290.18,4,1,East,One year,No,0
49,52,35.0,284.15,3,2,East,Month-to-month,Yes,0
46,38,11.0,157.24,4,0,West,Month-to-month,Yes,1
31,61,9.4,154.94,0,1,West,Month-to-month,Yes,1
46,67,50.0,32.57,2,1,South,Two year,No,0
18,69,51.1,267.08,2,0,South,One year,Yes,0
74,45,37.2,236.56,0,1,East,Two year,No,0
39,54,55.9,320.03,2,1,North,Two year,Yes,0
61,23,48.9,162.86,3,0,West,Two year,Yes,1
73,3,42.9,170.11,2,1,West,Month-to-month,Yes,0
46,29,17.4,202.85,1,1,East,Two year,No,1
67,63,59.7,278.65,3,2,South,One year,Yes,0
45,10,40.6,30.63,5,0,South,Month-to-month,Yes,1
25,40,25.8,262.29,4,0,South,One year,Yes,0
19,14,21.3,182.85,2,1,East,Month-to-month,Yes,1
25,31,36.1,73.84,4,1,West,Month-to-month,Yes,1
72,11,5.3,10.0,3,2,East,Month-to-month,Yes,1
45,53,43.2,170.67,4,1,West,Month-to-month,Yes,1
36,59,16.7,337.01,3,1,West,Month-to-month,No,1
43,55,37.9,360.84,2,1,East,Two year,Yes,0
32,51,23.7,222.31,4,0,South,One year,No,0
68,17,27.8,391.01,1,0,East,Month-to-month,Yes,1
75,39,19.9,180.49,4,2,South,Month-to-month,No,1
22,8,29.4,285.1,4,0,East,Month-to-month,No,0
59,27,62.2,137.62,2,0,West,Month-to-month,Yes,0
37,37,54.2,130.97,3,2,South,One year,Yes,1
20,49,37.7,113.86,6,2,East,Month-to-month,Yes,1
71,7,31.6,10.0,0,1,North,One year,No,1
21,59,45.5,320.14,4,1,East,One year,Yes,0
29,34,50.1,117.63,1,0,South,One year,Yes,0
19,64,18.7,100.85,3,0,South,Two year,Yes,1
45,38,30.8,61.1,3,0,East,Month-to-month,Yes,1
52,40,2.8,163.54,5,0,North,Two year,No,1
36,50,50.0,370.17,5,2,East,One year,No,1
22,60,65.0,404.85,2,0,East,One year,No,1
24,12,33.3,10.61,2,1,South,One year,No,1
72,37,1.0,147.78,6,0,North,Two year,No,1
64,3,41.7,76.39,2,1,South,Two year,Yes,1
72,35,17.5,288.78,4,0,North,Month-to-month,No,1
48,59,21.4,215.09,3,2,South,One year,No,1
49,63,42.0,118.16,3,2,East,One year,No,0
63,21,36.1,192.62,5,1,North,Month-to-month,No,1
53,28,24.2,134.87,2,1,East,Two year,Yes,1
43,40,21.6,354.5,5,0,North,Month-to-month,No,1
34,29,34.0,242.43,5,0,West,One year,No,1
46,13,25.4,255.33,2,1,East,Month-to-month,Yes,1
21,22,14.3,10.0,4,1,South,Month-to-month,No,1
29,30,26.7,177.99,3,2,East,Two year,Yes,1
60,38,37.4,403.74,5,2,North,Month-to-month,Yes,1
68,67,29.2,324.24,1,0,North,Month-to-month,Yes,0
23,40,9.4,10.0,6,1,West,Month-to-month,No,1
23,28,47.8,152.09,4,0,West,Month-to-month,No,1
22,48,1.0,58.84,2,1,North,One year,Yes,1
63,56,24.9,364.67,3,1,South,Two year,Yes,1
36,31,22.1,210.65,6,1,North,Month-to-month,Yes,1
36,36,34.4,104.38,2,0,South,One year,Yes,1
18,16,41.0,188.59,3,0,South,Month-to-month,Yes,1
74,63,50.0,10.0,3,1,South,One year,Yes,0
43,63,20.6,71.08,8,0,East,Month-to-month,No,1
64,13,41.4,188.83,3,0,North,Month-to-month,Yes,1
59,25,35.1,273.8,4,1,West,Month-to-month,Yes,0
26,20,4.6,10.0,3,1,East,One year,No,1
64,67,62.4,144.98,2,0,West,Month-to-month,Yes,0
49,5,9.0,291.02,5,0,North,Month-to-month,No,1
53,15,38.7,32.6,0,0,East,One year,Yes,0
29,23,38.2,209.06,1,1,West,One year,Yes,1
67,41,36.4,191.93,2,0,North,Month-to-month,Yes,1
72,18,24.1,365.01,5,0,West,One year,Yes,1
41,39,45.2,160.84,6,0,South,Two year,No,1
23,54,7.0,166.98,6,0,West,Month-to-month,No,0
67,60,30.9,274.77,2,0,South,One year,No,0
69,8,23.0,45.73,6,0,West,Month-to-month,Yes,0
47,10,21.2,161.81,4,2,North,One year,No,1
51,7,38.9,137.15,5,0,South,Month-to-month,Yes,1
30,66,49.2,170.41,4,3,South,One year,Yes,0
21,47,26.5,274.08,2,3,North,Month-to-month,No,1
72,39,44.5,243.19,0,2,South,Month-to-month,Yes,1
46,57,32.8,106.39,5,0,South,Two year,Yes,1
33,43,17.7,199.35,2,1,North,Month-to-month,Yes,1
58,17,27.9,341.5,4,0,East,Two year,Yes,1
19,37,27.2,97.71,5,0,East,Two year,No,0
22,51,20.9,200.24,5,0,West,Two year,Yes,0
32,3,38.9,164.72,1,0,East,Month-to-month,No,1
44,44,35.8,178.38,2,1,North,One year,Yes,0
39,36,6.5,13.78,6,1,North,Month-to-month,Yes,1
28,6,5.6,333.13,4,3,South,Month-to-month,No,1
38,19,38.8,103.69,4,0,South,Two year,No,1
37,33,19.0,292.74,3,2,North,One year,Yes,0
48,25,36.8,119.76,4,1,West,Month-to-month,Yes,1
50,21,44.5,119.32,3,0,East,Month-to-month,No,1
69,47,11.7,312.38,4,1,East,One year,No,1
64,30,9.4,289.36,5,0,North,One year,Yes,1
34,36,58.8,206.91,2,1,West,Month-to-month,Yes,1
70,58,37.6,264.92,3,3,North,Two year,No,1
48,7,25.3,154.7,1,0,South,Month-to-month,Yes,1
28,26,17.1,184.12,3,0,South,Month-to-month,Yes,1
37,6,23.8,115.53,3,1,West,One year,No,1
61,67,13.0,279.93,2,1,South,Two year,Yes,0
65,14,46.1,112.19,1,0,North,Month-to-month,Yes,0
39,60,19.6,340.94,4,2,South,Month-to-month,Yes,0
27,14,49.5,151.84,2,1,South,Month-to-month,Yes,1
29,24,25.6,187.15,5,1,North,Two year,Yes,0
24,44,15.3,264.67,0,1,North,Month-to-month,Yes,0
58,60,25.2,187.51,3,0,North,Month-to-month,Yes,1
47,13,1.0,153.72,2,1,South,Two year,Yes,1
44,16,30.1,181.85,5,0,South,Month-to-month,No,1
56,64,29.3,278.85,2,0,South,One year,Yes,0
66,24,45.2,115.4,4,0,East,Month-to-month,Yes,0
64,16,1.8,171.75,5,1,North,One year,Yes,1
25,54,50.6,186.08,3,2,West,Month-to-month,Yes,1
52,7,45.1,275.78,2,1,West,Month-to-month,Yes,1
69,63,52.0,174.52,0,0,North,Month-to-month,Yes,0
62,64,31.2,374.87,0,0,South,One year,Yes,0
37,62,48.2,168.56,3,0,North,One year,Yes,0
40,22,8.5,160.04,4,0,South,Month-to-month,Yes,1
69,9,43.4,167.04,3,0,South,Month-to-month,No,1
19,31,19.7,46.75,5,2,North,Two year,No,1
48,25,5.6,76.14,2,1,North,Month-to-month,No,1
24,70,14.0,129.28,3,0,South,Month-to-month,Yes,0
69,46,32.1,304.26,4,1,East,One year,No,1
20,68,18.8,181.52,1,2,South,Month-to-month,Yes,0
19,55,38.0,134.11,2,1,West,Month-to-month,Yes,0
37,52,3.1,313.79,1,1,South,Month-to-month,No,1
29,9,1.0,347.87,1,2,West,Month-to-month,No,1
46,5,54.0,316.82,8,1,North,Month-to-month,Yes,1
35,4,46.5,95.43,2,1,East,One year,No,1
38,43,15.2,133.0,4,0,West,One year,Yes,1
50,15,32.0,375.44,4,0,North,Month-to-month,Yes,0
50,72,48.3,210.32,4,2,West,Two year,Yes,0
72,10,38.7,156.9,2,0,South,Month-to-month,Yes,0
45,69,34.4,260.43,5,1,South,One year,No,0
50,49,49.5,290.77,6,0,East,Month-to-month,Yes,0
57,8,20.3,125.0,7,1,East,One year,Yes,1
28,5,32.5,208.04,2,1,North,Month-to-month,No,1
56,29,31.7,282.29,3,2,West,Month-to-month,No,1
67,25,27.6,63.17,5,3,East,Month-to-month,No,1
36,23,25.8,186.3,4,0,West,Month-to-month,No,1
28,39,33.2,67.99,3,1,South,Month-to-month,No,1
38,10,32.6,81.72,1,0,East,One year,No,1
33,10,15.2,125.87,2,0,South,Two year,Yes,0
51,51,44.8,235.1,2,1,West,Month-to-month,No,1
68,72,16.4,151.19,4,0,West,Two year,Yes,1
52,20,28.5,116.92,7,1,West,One year,Yes,1
25,68,27.3,190.41,5,0,East,Two year,Yes,0
36,25,37.7,64.57,5,1,West,One year,Yes,0
57,25,1.0,230.02,4,1,South,One year,Yes,1
37,7,46.3,303.8,5,1,South,Month-to-month,No,1
52,31,21.2,176.68,1,0,West,One year,Yes,1
58,36,51.5,163.72,4,0,North,Two year,Yes,1
37,48,24.3,224.21,6,1,East,Month-to-month,Yes,1
55,12,31.2,10.0,4,0,North,Month-to-month,No,1
41,14,62.6,241.37,5,1,East,Month-to-month,Yes,1
25,32,27.6,510.7,1,1,South,Two year,Yes,1
39,6,51.8,172.12,4,0,South,Month-to-month,No,1
43,11,32.6,172.49,2,1,South,One year,Yes,1
18,46,38.6,263.08,2,0,South,Two year,Yes,0
69,69,33.1,357.76,2,0,South,Two year,Yes,0
48,42,45.6,287.37,4,0,South,Month-to-month,Yes,0
20,11,21.0,10.0,2,1,East,One year,No,1
